Baboon, chacma;Papio ursinus
Black-tailed prairie dog;Cynomys ludovicianus
Black-tailed tree creeper;Climacteris melanura
Black-throated butcher bird;Cracticus nigroagularis
Black-throated cardinal;Paroaria gularis
Black-winged stilt;Himantopus himantopus
Blackbird, red-winged;Agelaius phoeniceus
Blackbuck;Antilope cervicapra
Blackish oystercatcher;Haematopus ater
Blacksmith plover;Vanellus armatus
Bleeding heart monkey;Theropithecus gelada
Blesbok;Damaliscus dorcas
Bleu, blue-breasted cordon;Uraeginthus angolensis
Bleu, red-cheeked cordon;Uraeginthus bengalus
Blue and gold macaw;Ara ararauna
Blue and yellow macaw;Ara ararauna
Blue catfish;Ictalurus furcatus
Blue crane;Anthropoides paradisea
Blue duck;Hymenolaimus malacorhynchus
Blue fox;Alopex lagopus
Blue peacock;Pavo cristatus
Blue racer;Coluber constrictor foxii
Blue shark;Prionace glauca
Blue waxbill;Uraeginthus angolensis
Blue wildebeest;Connochaetus taurinus
Blue-breasted cordon bleu;Uraeginthus angolensis
Blue-faced booby;Sula dactylatra
Blue-footed booby;Sula nebouxii
Blue-tongued lizard;Tiliqua scincoides
Blue-tongued skink;Tiliqua scincoides
Boa, columbian rainbow;Epicrates cenchria maurus
Boa, cook's tree;Corallus hortulanus cooki
Boa, emerald green tree;Boa caninus
Boa, malagasy ground;Acrantophis madagascariensis
Boa, mexican;Boa constrictor mexicana
Boar, wild;Sus scrofa
Boat-billed heron;Cochlearius cochlearius
Bobcat;Felis rufus
Bohor reedbuck;Redunca redunca
Bonnet macaque;Macaca radiata
Bontebok;Damaliscus dorcas
Booby, blue-faced;Sula dactylatra
Booby, blue-footed;Sula nebouxii
Booby, masked;Sula dactylatra
Bottle-nose dolphin;Tursiops truncatus
Boubou, southern;Laniarius ferrugineus
Brazilian otter;Pteronura brasiliensis
Brazilian tapir;Tapirus terrestris
Brindled gnu;Connochaetus taurinus
Brocket, brown;Mazama gouazoubira
Brocket, red;Mazama americana
Brolga crane;Grus rubicundus
Brown and yellow marshbird;Pseudoleistes virescens
Brown antechinus;Antechinus flavipes
Brown brocket;Mazama gouazoubira
Brown capuchin;Cebus apella
Brown hyena;Hyaena brunnea
Brown lemur;Lemur fulvus
Brown pelican;Pelecanus occidentalis
Brush-tailed bettong;Bettongia penicillata
Brush-tailed phascogale;Phascogale tapoatafa
Brush-tailed rat kangaroo;Bettongia penicillata
Buffalo, african;Snycerus caffer
Buffalo, american;Bison bison
Buffalo, asian water;Bubalus arnee
Buffalo, wild water;Bubalus arnee
Bulbul, african red-eyed;Pycnonotus nigricans
Bulbul, black-eyed;Pycnonotus barbatus
Bulbul, black-fronted;Pycnonotus nigricans
Bunting, crested;Melophus lathami
Burchell's gonolek;Laniaurius atrococcineus
Burmese black mountain tortoise;Manouria emys
Burmese brown mountain tortoise;Manouria emys
Burrowing owl;Speotyte cuniculata
Bush dog;Speothos vanaticus
Bushbaby, large-eared;Galago crassicaudataus
Bushbuck;Tragelaphus scriptus
Bushpig;Potamochoerus porcus
Bustard, denham's;Neotis denhami
Bustard, kori;Choriotis kori
Bustard, stanley;Neotis denhami
Butterfly, canadian tiger swallowtail;Papilio canadensis
Butterfly, tropical buckeye;Junonia genoveua
Buttermilk snake;Coluber constrictor
